Accession,Organism,Group
MW896901.1,Hubei sediment flavi-like virus 2,Freshwater
MW896905.1,Jiangsu sediment flavi-like virus 2,Freshwater
MW896907.1,Beijing sediment flavi-like virus,Freshwater
MW896909.1,Jiangsu sediment flavi-like virus 1,Freshwater
MW896915.1,Jiangsu sediment flavi-like virus 3,Freshwater
Zayed 2022,Arctic Ocean flavi-like virus 1,Marine
Zayed 2022,North Atlantic Ocean flavi-like virus 1,Marine
Zayed 2022,Mediterranean Sea flavi-like virus 1,Marine
Zayed 2022,Mediterranean Sea flavi-like virus 2,Marine
Zayed 2022,Arctic Ocean flavi-like virus 2,Marine
Zayed 2022,North Pacific Ocean flavi-like virus 1,Marine
Zayed 2022,Mediterranean Sea flavi-like virus 3,Marine
Zayed 2022,Indian Ocean flavi-like virus,Marine
Zayed 2022,North Pacific Ocean flavi-like virus 2,Marine
Zayed 2022,North Pacific Ocean flavi-like virus 3,Marine
Zayed 2022,North Atlantic Ocean flavi-like virus 2,Marine
Zayed 2022,Mediterranean Sea flavi-like virus 4,Marine
Zayed 2022,North Atlantic Ocean flavi-like virus 3,Marine
Zayed 2022,South Atlantic Ocean flavi-like virus 1,Marine
Zayed 2022,South Pacific Ocean flavi-like virus,Marine,
